gene_id	gene_name	description	gene_biotype
ENSMUSG00000095362	Gm14325	predicted gene 14325 [Source:MGI Symbol;Acc:MGI:3702875]	protein_coding
ENSMUSG00000074521	Gm14327	predicted gene 14327 [Source:MGI Symbol;Acc:MGI:3652188]	protein_coding
ENSMUSG00000074529	Zfp972	zinc finger protein 972 [Source:MGI Symbol;Acc:MGI:1925953]	protein_coding
ENSMUSG00000078862	Gm14326	predicted gene 14326 [Source:MGI Symbol;Acc:MGI:3709298]	protein_coding
ENSMUSG00000074519	Zfp971	zinc finger protein 971 [Source:MGI Symbol;Acc:MGI:1261426]	protein_coding
ENSMUSG00000078861	Zfp931	zinc finger protein 931 [Source:MGI Symbol;Acc:MGI:2441662]	protein_coding
ENSMUSG00000027525	Phactr3	phosphatase and actin regulator 3 [Source:MGI Symbol;Acc:MGI:1921439]	protein_coding
ENSMUSG00000060445	Sycp2	synaptonemal complex protein 2 [Source:MGI Symbol;Acc:MGI:1933281]	protein_coding
ENSMUSG00000049999	Ppp1r3d	protein phosphatase 1, regulatory subunit 3D [Source:MGI Symbol;Acc:MGI:1917664]	protein_coding
ENSMUSG00000070476	Fam217b	family with sequence similarity 217, member B [Source:MGI Symbol;Acc:MGI:1918782]	protein_coding
ENSMUSG00000039155	Cdh26	cadherin-like 26 [Source:MGI Symbol;Acc:MGI:2685856]	protein_coding
ENSMUSG00000039138	4930591A17Rik	RIKEN cDNA 4930591A17 gene [Source:MGI Symbol;Acc:MGI:1915425]	lncRNA
ENSMUSG00000000305	Cdh4	cadherin 4 [Source:MGI Symbol;Acc:MGI:99218]	protein_coding
ENSMUSG00000039117	Taf4	TATA-box binding protein associated factor 4 [Source:MGI Symbol;Acc:MGI:2152346]	protein_coding
ENSMUSG00000085704	4921531C22Rik	RIKEN cDNA 4921531C22 gene [Source:MGI Symbol;Acc:MGI:1913980]	lncRNA
ENSMUSG00000039108	Lsm14b	LSM family member 14B [Source:MGI Symbol;Acc:MGI:3040677]	protein_coding
ENSMUSG00000027566	Psma7	proteasome (prosome, macropain) subunit, alpha type 7 [Source:MGI Symbol;Acc:MGI:1347070]	protein_coding
ENSMUSG00000039086	Ss18l1	SS18, nBAF chromatin remodeling complex subunit like 1 [Source:MGI Symbol;Acc:MGI:2444061]	protein_coding
ENSMUSG00000039069	Mtg2	mitochondrial ribosome associated GTPase 2 [Source:MGI Symbol;Acc:MGI:106565]	protein_coding
ENSMUSG00000039059	Hrh3	histamine receptor H3 [Source:MGI Symbol;Acc:MGI:2139279]	protein_coding
ENSMUSG00000090589	Gm17180	predicted gene 17180 [Source:MGI Symbol;Acc:MGI:4938007]	lncRNA
ENSMUSG00000039050	Osbpl2	oxysterol binding protein-like 2 [Source:MGI Symbol;Acc:MGI:2442832]	protein_coding
ENSMUSG00000039041	Adrm1	adhesion regulating molecule 1 [Source:MGI Symbol;Acc:MGI:1929289]	protein_coding
ENSMUSG00000015647	Lama5	laminin, alpha 5 [Source:MGI Symbol;Acc:MGI:105382]	protein_coding
ENSMUSG00000039001	Rps21	ribosomal protein S21 [Source:MGI Symbol;Acc:MGI:1913731]	protein_coding
ENSMUSG00000038990	Cables2	CDK5 and Abl enzyme substrate 2 [Source:MGI Symbol;Acc:MGI:2182335]	protein_coding
ENSMUSG00000038980	Rbbp8nl	RBBP8 N-terminal like [Source:MGI Symbol;Acc:MGI:3606212]	protein_coding
ENSMUSG00000015627	Gata5	GATA binding protein 5 [Source:MGI Symbol;Acc:MGI:109497]	protein_coding
ENSMUSG00000056061	Gata5os	GATA binding protein 5, opposite strand [Source:MGI Symbol;Acc:MGI:3650386]	lncRNA
ENSMUSG00000084843	B230312C02Rik	RIKEN cDNA B230312C02 gene [Source:MGI Symbol;Acc:MGI:2444130]	lncRNA
ENSMUSG00000038963	Slco4a1	solute carrier organic anion transporter family, member 4a1 [Source:MGI Symbol;Acc:MGI:1351866]	protein_coding
ENSMUSG00000027568	Ntsr1	neurotensin receptor 1 [Source:MGI Symbol;Acc:MGI:97386]	protein_coding
ENSMUSG00000027569	Mrgbp	MRG/MORF4L binding protein [Source:MGI Symbol;Acc:MGI:1920497]	protein_coding
ENSMUSG00000049401	Ogfr	opioid growth factor receptor [Source:MGI Symbol;Acc:MGI:1919325]	protein_coding
ENSMUSG00000027570	Col9a3	collagen, type IX, alpha 3 [Source:MGI Symbol;Acc:MGI:894686]	protein_coding
ENSMUSG00000038932	Tcfl5	transcription factor-like 5 (basic helix-loop-helix) [Source:MGI Symbol;Acc:MGI:2672878]	protein_coding
ENSMUSG00000038914	Dido1	death inducer-obliterator 1 [Source:MGI Symbol;Acc:MGI:1344352]	protein_coding
ENSMUSG00000027573	Gid8	GID complex subunit 8 [Source:MGI Symbol;Acc:MGI:1923675]	protein_coding
ENSMUSG00000023393	Slc17a9	solute carrier family 17, member 9 [Source:MGI Symbol;Acc:MGI:1919107]	protein_coding
ENSMUSG00000087550	Gm14343	predicted gene 14343 [Source:MGI Symbol;Acc:MGI:3701948]	lncRNA
ENSMUSG00000045493	Bhlhe23	basic helix-loop-helix family, member e23 [Source:MGI Symbol;Acc:MGI:2153710]	protein_coding
ENSMUSG00000074507	Gm14340	predicted gene 14340 [Source:MGI Symbol;Acc:MGI:3650817]	lncRNA
ENSMUSG00000086166	Gm14342	predicted gene 14342 [Source:MGI Symbol;Acc:MGI:3650757]	lncRNA
ENSMUSG00000085428	Gm14344	predicted gene 14344 [Source:MGI Symbol;Acc:MGI:3650758]	lncRNA
ENSMUSG00000085728	Gm14339	predicted gene 14339 [Source:MGI Symbol;Acc:MGI:3651047]	lncRNA
ENSMUSG00000098051	Gm27032	predicted gene, 27032 [Source:MGI Symbol;Acc:MGI:5504147]	lncRNA
ENSMUSG00000038848	Ythdf1	YTH N6-methyladenosine RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1917431]	protein_coding
ENSMUSG00000038840	Birc7	baculoviral IAP repeat-containing 7 (livin) [Source:MGI Symbol;Acc:MGI:2676458]	protein_coding
ENSMUSG00000027574	Nkain4	Na+/K+ transporting ATPase interacting 4 [Source:MGI Symbol;Acc:MGI:1915372]	protein_coding
ENSMUSG00000087293	Gm14341	predicted gene 14341 [Source:MGI Symbol;Acc:MGI:3651041]	lncRNA
ENSMUSG00000027575	Arfgap1	ADP-ribosylation factor GTPase activating protein 1 [Source:MGI Symbol;Acc:MGI:2183559]	protein_coding
ENSMUSG00000070461	9230112E08Rik	RIKEN cDNA 9230112E08 gene [Source:MGI Symbol;Acc:MGI:2444774]	lncRNA
ENSMUSG00000016356	Col20a1	collagen, type XX, alpha 1 [Source:MGI Symbol;Acc:MGI:1920618]	protein_coding
ENSMUSG00000027577	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4 [Source:MGI Symbol;Acc:MGI:87888]	protein_coding
ENSMUSG00000016346	Kcnq2	potassium voltage-gated channel, subfamily Q, member 2 [Source:MGI Symbol;Acc:MGI:1309503]	protein_coding
ENSMUSG00000016349	Eef1a2	eukaryotic translation elongation factor 1 alpha 2 [Source:MGI Symbol;Acc:MGI:1096317]	protein_coding
ENSMUSG00000016344	Ppdpf	pancreatic progenitor cell differentiation and proliferation factor [Source:MGI Symbol;Acc:MGI:1913746]	protein_coding
ENSMUSG00000038751	Ptk6	PTK6 protein tyrosine kinase 6 [Source:MGI Symbol;Acc:MGI:99683]	protein_coding
ENSMUSG00000027579	Srms	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites [Source:MGI Symbol;Acc:MGI:101865]	protein_coding
ENSMUSG00000047841	Fndc11	fibronectin type III domain containing 11 [Source:MGI Symbol;Acc:MGI:3051572]	protein_coding
ENSMUSG00000027580	Helz2	helicase with zinc finger 2, transcriptional coactivator [Source:MGI Symbol;Acc:MGI:2385169]	protein_coding
ENSMUSG00000038705	Gmeb2	glucocorticoid modulatory element binding protein 2 [Source:MGI Symbol;Acc:MGI:2652836]	protein_coding
ENSMUSG00000027581	Stmn3	stathmin-like 3 [Source:MGI Symbol;Acc:MGI:1277137]	protein_coding
ENSMUSG00000038685	Rtel1	regulator of telomere elongation helicase 1 [Source:MGI Symbol;Acc:MGI:2139369]	protein_coding
ENSMUSG00000038671	Arfrp1	ADP-ribosylation factor related protein 1 [Source:MGI Symbol;Acc:MGI:1923938]	protein_coding
ENSMUSG00000027582	Zgpat	zinc finger, CCCH-type with G patch domain [Source:MGI Symbol;Acc:MGI:2449939]	protein_coding
ENSMUSG00000090077	Lime1	Lck interacting transmembrane adaptor 1 [Source:MGI Symbol;Acc:MGI:1919949]	protein_coding
ENSMUSG00000027583	Zbtb46	zinc finger and BTB domain containing 46 [Source:MGI Symbol;Acc:MGI:1919397]	protein_coding
ENSMUSG00000055882	Abhd16b	abhydrolase domain containing 16B [Source:MGI Symbol;Acc:MGI:3607711]	protein_coding
ENSMUSG00000000827	Tpd52l2	tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564]	protein_coding
ENSMUSG00000000826	Dnajc5	DnaJ heat shock protein family (Hsp40) member C5 [Source:MGI Symbol;Acc:MGI:892995]	protein_coding
ENSMUSG00000089917	Uckl1	uridine-cytidine kinase 1-like 1 [Source:MGI Symbol;Acc:MGI:1915806]	protein_coding
ENSMUSG00000010492	Uckl1os	uridine-cytidine kinase 1-like 1, opposite strand [Source:MGI Symbol;Acc:MGI:3801877]	lncRNA
ENSMUSG00000000823	Zfp512b	zinc finger protein 512B [Source:MGI Symbol;Acc:MGI:2685478]	protein_coding
ENSMUSG00000002455	Prpf6	pre-mRNA splicing factor 6 [Source:MGI Symbol;Acc:MGI:1922946]	protein_coding
ENSMUSG00000038605	Samd10	sterile alpha motif domain containing 10 [Source:MGI Symbol;Acc:MGI:2443872]	protein_coding
ENSMUSG00000108976	Gm29797	predicted gene, 29797 [Source:MGI Symbol;Acc:MGI:5588956]	protein_coding
ENSMUSG00000046470	Sox18	SRY (sex determining region Y)-box 18 [Source:MGI Symbol;Acc:MGI:103559]	protein_coding
ENSMUSG00000059540	Tcea2	transcription elongation factor A (SII), 2 [Source:MGI Symbol;Acc:MGI:107368]	protein_coding
ENSMUSG00000002458	Rgs19	regulator of G-protein signaling 19 [Source:MGI Symbol;Acc:MGI:1915153]	protein_coding
ENSMUSG00000045794	Lkaaear1	LKAAEAR motif containing 1 (IKAAEAR murine motif) [Source:MGI Symbol;Acc:MGI:2685538]	protein_coding
ENSMUSG00000027584	Oprl1	opioid receptor-like 1 [Source:MGI Symbol;Acc:MGI:97440]	protein_coding
ENSMUSG00000010505	Myt1	myelin transcription factor 1 [Source:MGI Symbol;Acc:MGI:1100535]	protein_coding
ENSMUSG00000027589	Pcmtd2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2 [Source:MGI Symbol;Acc:MGI:1923927]	protein_coding
ENSMUSG00000038628	Polr3k	polymerase (RNA) III (DNA directed) polypeptide K [Source:MGI Symbol;Acc:MGI:1914255]	protein_coding
ENSMUSG00000098505	Gm14496	predicted gene 14496 [Source:MGI Symbol;Acc:MGI:3769929]	protein_coding
ENSMUSG00000017688	Hnf4g	hepatocyte nuclear factor 4, gamma [Source:MGI Symbol;Acc:MGI:1353604]	protein_coding
ENSMUSG00000098659	1110015O18Rik	RIKEN cDNA 1110015O18 gene [Source:MGI Symbol;Acc:MGI:1915766]	lncRNA
ENSMUSG00000096922	Gm17308	predicted gene, 17308 [Source:MGI Symbol;Acc:MGI:4936942]	lncRNA
ENSMUSG00000086224	2700069I18Rik	RIKEN cDNA 2700069I18 gene [Source:MGI Symbol;Acc:MGI:1919858]	lncRNA
ENSMUSG00000025255	Zfhx4	zinc finger homeodomain 4 [Source:MGI Symbol;Acc:MGI:2137668]	protein_coding
ENSMUSG00000093557	4930555M17Rik	RIKEN cDNA 4930555M17 gene [Source:MGI Symbol;Acc:MGI:1925289]	lncRNA
ENSMUSG00000040374	Pex2	peroxisomal biogenesis factor 2 [Source:MGI Symbol;Acc:MGI:107486]	protein_coding
ENSMUSG00000103034	Gm8797	predicted pseudogene 8797 [Source:MGI Symbol;Acc:MGI:3643769]	protein_coding
ENSMUSG00000102979	Gm37350	predicted gene, 37350 [Source:MGI Symbol;Acc:MGI:5610578]	lncRNA
ENSMUSG00000069118	1700008P02Rik	RIKEN cDNA 1700008P02 gene [Source:MGI Symbol;Acc:MGI:1916597]	protein_coding
ENSMUSG00000027499	Pkia	protein kinase inhibitor, alpha [Source:MGI Symbol;Acc:MGI:104747]	protein_coding
ENSMUSG00000043542	Zc2hc1a	zinc finger, C2HC-type containing 1A [Source:MGI Symbol;Acc:MGI:1914556]	protein_coding
ENSMUSG00000040329	Il7	interleukin 7 [Source:MGI Symbol;Acc:MGI:96561]	protein_coding
ENSMUSG00000097804	Gm16685	predicted gene, 16685 [Source:MGI Symbol;Acc:MGI:4439609]	lncRNA
ENSMUSG00000100010	1700010I02Rik	RIKEN cDNA 1700010I02 gene [Source:MGI Symbol;Acc:MGI:1922726]	lncRNA
ENSMUSG00000027500	Stmn2	stathmin-like 2 [Source:MGI Symbol;Acc:MGI:98241]	protein_coding
ENSMUSG00000104102	Gm32496	predicted gene, 32496 [Source:MGI Symbol;Acc:MGI:5591655]	lncRNA
ENSMUSG00000040289	Hey1	hairy/enhancer-of-split related with YRPW motif 1 [Source:MGI Symbol;Acc:MGI:1341800]	protein_coding
ENSMUSG00000103346	C230057A21Rik	RIKEN cDNA C230057A21 gene [Source:MGI Symbol;Acc:MGI:2686488]	lncRNA
ENSMUSG00000040269	Mrps28	mitochondrial ribosomal protein S28 [Source:MGI Symbol;Acc:MGI:1913480]	protein_coding
ENSMUSG00000027506	Tpd52	tumor protein D52 [Source:MGI Symbol;Acc:MGI:107749]	protein_coding
ENSMUSG00000103116	4930539M17Rik	RIKEN cDNA 4930539M17 gene [Source:MGI Symbol;Acc:MGI:1922399]	lncRNA
ENSMUSG00000069114	Zbtb10	zinc finger and BTB domain containing 10 [Source:MGI Symbol;Acc:MGI:2139883]	protein_coding
ENSMUSG00000097365	C030034L19Rik	RIKEN cDNA C030034L19 gene [Source:MGI Symbol;Acc:MGI:2444519]	lncRNA
ENSMUSG00000040209	Zfp704	zinc finger protein 704 [Source:MGI Symbol;Acc:MGI:2180715]	protein_coding
ENSMUSG00000027508	Pag1	phosphoprotein associated with glycosphingolipid microdomains 1 [Source:MGI Symbol;Acc:MGI:2443160]	protein_coding
ENSMUSG00000089794	Gm16337	predicted gene 16337 [Source:MGI Symbol;Acc:MGI:3840131]	lncRNA
ENSMUSG00000027533	Fabp5	fatty acid binding protein 5, epidermal [Source:MGI Symbol;Acc:MGI:101790]	protein_coding
ENSMUSG00000104000	Gm38335	predicted gene, 38335 [Source:MGI Symbol;Acc:MGI:5611563]	lncRNA
ENSMUSG00000049230	Gm9833	predicted gene 9833 [Source:MGI Symbol;Acc:MGI:3641855]	protein_coding
ENSMUSG00000052468	Pmp2	peripheral myelin protein 2 [Source:MGI Symbol;Acc:MGI:102667]	protein_coding
ENSMUSG00000027528	Fabp9	fatty acid binding protein 9, testis [Source:MGI Symbol;Acc:MGI:1194881]	protein_coding
ENSMUSG00000062515	Fabp4	fatty acid binding protein 4, adipocyte [Source:MGI Symbol;Acc:MGI:88038]	protein_coding
ENSMUSG00000027530	Fabp12	fatty acid binding protein 12 [Source:MGI Symbol;Acc:MGI:1922747]	protein_coding
ENSMUSG00000027531	Impa1	inositol (myo)-1(or 4)-monophosphatase 1 [Source:MGI Symbol;Acc:MGI:1933158]	protein_coding
ENSMUSG00000058921	Slc10a5	solute carrier family 10 (sodium/bile acid cotransporter family), member 5 [Source:MGI Symbol;Acc:MGI:2685251]	protein_coding
ENSMUSG00000039795	Zfand1	zinc finger, AN1-type domain 1 [Source:MGI Symbol;Acc:MGI:1913611]	protein_coding
ENSMUSG00000027536	Chmp4c	charged multivesicular body protein 4C [Source:MGI Symbol;Acc:MGI:1913621]	protein_coding
ENSMUSG00000027534	Snx16	sorting nexin 16 [Source:MGI Symbol;Acc:MGI:1921968]	protein_coding
ENSMUSG00000104015	Gm10745	predicted gene 10745 [Source:MGI Symbol;Acc:MGI:3642274]	lncRNA
ENSMUSG00000102215	Gm2464	predicted gene 2464 [Source:MGI Symbol;Acc:MGI:3780631]	lncRNA
ENSMUSG00000039717	Ralyl	RALY RNA binding protein-like [Source:MGI Symbol;Acc:MGI:1924147]	protein_coding
ENSMUSG00000039710	Slc7a12	solute carrier family 7 (cationic amino acid transporter, y+ system), member 12 [Source:MGI Symbol;Acc:MGI:2156159]	protein_coding
ENSMUSG00000027550	Lrrcc1	leucine rich repeat and coiled-coil domain containing 1 [Source:MGI Symbol;Acc:MGI:1918960]	protein_coding
ENSMUSG00000027552	E2f5	E2F transcription factor 5 [Source:MGI Symbol;Acc:MGI:105091]	protein_coding
ENSMUSG00000078784	Rbis	ribosomal biogenesis factor [Source:MGI Symbol;Acc:MGI:1916376]	protein_coding
ENSMUSG00000027555	Car13	carbonic anhydrase 13 [Source:MGI Symbol;Acc:MGI:1931322]	protein_coding
ENSMUSG00000027556	Car1	carbonic anhydrase 1 [Source:MGI Symbol;Acc:MGI:88268]	protein_coding
ENSMUSG00000027559	Car3	carbonic anhydrase 3 [Source:MGI Symbol;Acc:MGI:88270]	protein_coding
ENSMUSG00000027562	Car2	carbonic anhydrase 2 [Source:MGI Symbol;Acc:MGI:88269]	protein_coding
ENSMUSG00000098008	A930001A20Rik	RIKEN cDNA A930001A20 gene [Source:MGI Symbol;Acc:MGI:1924377]	lncRNA
ENSMUSG00000103912	Gm33819	predicted gene, 33819 [Source:MGI Symbol;Acc:MGI:5592978]	lncRNA
ENSMUSG00000078783	Gm9733	predicted gene 9733 [Source:MGI Symbol;Acc:MGI:3780136]	protein_coding
ENSMUSG00000095788	Sirpb1a	signal-regulatory protein beta 1A [Source:MGI Symbol;Acc:MGI:2444824]	protein_coding
ENSMUSG00000095028	Sirpb1b	signal-regulatory protein beta 1B [Source:MGI Symbol;Acc:MGI:3779828]	protein_coding
ENSMUSG00000102155	Gm37468	predicted gene, 37468 [Source:MGI Symbol;Acc:MGI:5610696]	lncRNA
ENSMUSG00000074677	Sirpb1c	signal-regulatory protein beta 1C [Source:MGI Symbol;Acc:MGI:3807521]	protein_coding
ENSMUSG00000078780	Gm5150	predicted gene 5150 [Source:MGI Symbol;Acc:MGI:3779469]	protein_coding
ENSMUSG00000047213	Ythdf3	YTH N6-methyladenosine RNA binding protein 3 [Source:MGI Symbol;Acc:MGI:1918850]	protein_coding
ENSMUSG00000104411	Gm30340	predicted gene, 30340 [Source:MGI Symbol;Acc:MGI:5589499]	lncRNA
ENSMUSG00000100252	Mir124-2hg	Mir124-2 host gene (non-protein coding) [Source:MGI Symbol;Acc:MGI:1917691]	lncRNA
ENSMUSG00000027564	Cypt12	cysteine-rich perinuclear theca 12 [Source:MGI Symbol;Acc:MGI:1922689]	protein_coding
ENSMUSG00000025128	Bhlhe22	basic helix-loop-helix family, member e22 [Source:MGI Symbol;Acc:MGI:1930001]	protein_coding
ENSMUSG00000039519	Cyp7b1	cytochrome P450, family 7, subfamily b, polypeptide 1 [Source:MGI Symbol;Acc:MGI:104978]	protein_coding
ENSMUSG00000102886	Gm30667	predicted gene, 30667 [Source:MGI Symbol;Acc:MGI:5589826]	lncRNA
ENSMUSG00000102699	4930433B08Rik	RIKEN cDNA 4930433B08 gene [Source:MGI Symbol;Acc:MGI:1921209]	lncRNA
ENSMUSG00000027599	Armc1	armadillo repeat containing 1 [Source:MGI Symbol;Acc:MGI:1921502]	protein_coding
ENSMUSG00000027601	Mtfr1	mitochondrial fission regulator 1 [Source:MGI Symbol;Acc:MGI:1914722]	protein_coding
ENSMUSG00000069094	Pde7a	phosphodiesterase 7A [Source:MGI Symbol;Acc:MGI:1202402]	protein_coding
ENSMUSG00000087108	Gm16093	predicted gene 16093 [Source:MGI Symbol;Acc:MGI:3801946]	lncRNA
ENSMUSG00000027606	Dnajc5b	DnaJ heat shock protein family (Hsp40) member C5 beta [Source:MGI Symbol;Acc:MGI:1913576]	protein_coding
ENSMUSG00000082766	1700064H15Rik	RIKEN cDNA 1700064H15 gene [Source:MGI Symbol;Acc:MGI:1920674]	protein_coding
ENSMUSG00000060913	Trim55	tripartite motif-containing 55 [Source:MGI Symbol;Acc:MGI:3036269]	protein_coding
ENSMUSG00000104465	BC002189	cDNA sequence BC002189 [Source:MGI Symbol;Acc:MGI:3642300]	lncRNA
ENSMUSG00000049796	Crh	corticotropin releasing hormone [Source:MGI Symbol;Acc:MGI:88496]	protein_coding
ENSMUSG00000003617	Cp	ceruloplasmin [Source:MGI Symbol;Acc:MGI:88476]	protein_coding
ENSMUSG00000027615	Hps3	HPS3, biogenesis of lysosomal organelles complex 2 subunit 1 [Source:MGI Symbol;Acc:MGI:2153839]	protein_coding
ENSMUSG00000002428	Hltf	helicase-like transcription factor [Source:MGI Symbol;Acc:MGI:1196437]	protein_coding
ENSMUSG00000019528	Gyg	glycogenin [Source:MGI Symbol;Acc:MGI:1351614]	protein_coding
ENSMUSG00000001865	Cpa3	carboxypeptidase A3, mast cell [Source:MGI Symbol;Acc:MGI:88479]	protein_coding
ENSMUSG00000011463	Cpb1	carboxypeptidase B1 (tissue) [Source:MGI Symbol;Acc:MGI:1923953]	protein_coding
ENSMUSG00000105208	Gm43525	predicted gene 43525 [Source:MGI Symbol;Acc:MGI:5663662]	lncRNA
ENSMUSG00000054988	Agtr1b	angiotensin II receptor, type 1b [Source:MGI Symbol;Acc:MGI:87965]	protein_coding
ENSMUSG00000102636	Gm31466	predicted gene, 31466 [Source:MGI Symbol;Acc:MGI:5590625]	lncRNA
ENSMUSG00000101897	Gm29137	predicted gene 29137 [Source:MGI Symbol;Acc:MGI:5579843]	lncRNA
ENSMUSG00000105440	Gm31693	predicted gene, 31693 [Source:MGI Symbol;Acc:MGI:5590852]	lncRNA
ENSMUSG00000106321	Gm43674	predicted gene 43674 [Source:MGI Symbol;Acc:MGI:5663811]	lncRNA
ENSMUSG00000106019	Gm43672	predicted gene 43672 [Source:MGI Symbol;Acc:MGI:5663809]	lncRNA
ENSMUSG00000027630	Tbl1xr1	transducin (beta)-like 1X-linked receptor 1 [Source:MGI Symbol;Acc:MGI:2441730]	protein_coding
ENSMUSG00000102987	Gm38324	predicted gene, 38324 [Source:MGI Symbol;Acc:MGI:5611552]	lncRNA
ENSMUSG00000103607	Gm37021	predicted gene, 37021 [Source:MGI Symbol;Acc:MGI:5610249]	lncRNA
ENSMUSG00000102203	4930412E21Rik	RIKEN cDNA 4930412E21 gene [Source:MGI Symbol;Acc:MGI:1924114]	lncRNA
ENSMUSG00000102758	Naaladl2	N-acetylated alpha-linked acidic dipeptidase-like 2 [Source:MGI Symbol;Acc:MGI:2685867]	protein_coding
ENSMUSG00000063887	Nlgn1	neuroligin 1 [Source:MGI Symbol;Acc:MGI:2179435]	protein_coding
ENSMUSG00000102397	Gm37573	predicted gene, 37573 [Source:MGI Symbol;Acc:MGI:5610801]	lncRNA
ENSMUSG00000074664	A830092H15Rik	RIKEN cDNA A830092H15 gene [Source:MGI Symbol;Acc:MGI:3698881]	lncRNA
ENSMUSG00000039335	Spata16	spermatogenesis associated 16 [Source:MGI Symbol;Acc:MGI:1918112]	protein_coding
ENSMUSG00000027699	Ect2	ect2 oncogene [Source:MGI Symbol;Acc:MGI:95281]	protein_coding
ENSMUSG00000097584	1700125G22Rik	RIKEN cDNA 1700125G22 gene [Source:MGI Symbol;Acc:MGI:1923907]	lncRNA
ENSMUSG00000027698	Nceh1	neutral cholesterol ester hydrolase 1 [Source:MGI Symbol;Acc:MGI:2443191]	protein_coding
ENSMUSG00000039304	Tnfsf10	tumor necrosis factor (ligand) superfamily, member 10 [Source:MGI Symbol;Acc:MGI:107414]	protein_coding
ENSMUSG00000051136	Ghsr	growth hormone secretagogue receptor [Source:MGI Symbol;Acc:MGI:2441906]	protein_coding
ENSMUSG00000039286	Fndc3b	fibronectin type III domain containing 3B [Source:MGI Symbol;Acc:MGI:1919257]	protein_coding
ENSMUSG00000043164	Tmem212	transmembrane protein 212 [Source:MGI Symbol;Acc:MGI:2685410]	protein_coding
ENSMUSG00000027695	Pld1	phospholipase D1 [Source:MGI Symbol;Acc:MGI:109585]	protein_coding
ENSMUSG00000109716	Gm42196	predicted gene, 42196 [Source:MGI Symbol;Acc:MGI:5625081]	lncRNA
ENSMUSG00000027692	Tnik	TRAF2 and NCK interacting kinase [Source:MGI Symbol;Acc:MGI:1916264]	protein_coding
ENSMUSG00000027690	Slc2a2	solute carrier family 2 (facilitated glucose transporter), member 2 [Source:MGI Symbol;Acc:MGI:1095438]	protein_coding
ENSMUSG00000091329	1700112D23Rik	RIKEN cDNA 1700112D23 gene [Source:MGI Symbol;Acc:MGI:1920861]	lncRNA
ENSMUSG00000050192	Eif5a2	eukaryotic translation initiation factor 5A2 [Source:MGI Symbol;Acc:MGI:1933735]	protein_coding
ENSMUSG00000103827	Gm32950	predicted gene, 32950 [Source:MGI Symbol;Acc:MGI:5592109]	lncRNA
ENSMUSG00000039221	Rpl22l1	ribosomal protein L22 like 1 [Source:MGI Symbol;Acc:MGI:1915278]	protein_coding
ENSMUSG00000104444	Gm33051	predicted gene, 33051 [Source:MGI Symbol;Acc:MGI:5592210]	lncRNA
ENSMUSG00000104275	Gm37867	predicted gene, 37867 [Source:MGI Symbol;Acc:MGI:5611095]	lncRNA
ENSMUSG00000074655	Gm1527	predicted gene 1527 [Source:MGI Symbol;Acc:MGI:2686373]	protein_coding
ENSMUSG00000063600	Egfem1	EGF-like and EMI domain containing 1 [Source:MGI Symbol;Acc:MGI:1922990]	protein_coding
ENSMUSG00000102574	Gm33206	predicted gene, 33206 [Source:MGI Symbol;Acc:MGI:5592365]	lncRNA
ENSMUSG00000102590	Mannr	Mecom adjacent non-protein coding RNA [Source:MGI Symbol;Acc:MGI:5564803]	lncRNA
ENSMUSG00000027684	Mecom	MDS1 and EVI1 complex locus [Source:MGI Symbol;Acc:MGI:95457]	protein_coding
ENSMUSG00000085702	Mecomos	MDS1 and EVI1 complex locus, opposite strand [Source:MGI Symbol;Acc:MGI:4439646]	lncRNA
ENSMUSG00000102256	Gm38258	predicted gene, 38258 [Source:MGI Symbol;Acc:MGI:5611486]	lncRNA
ENSMUSG00000037737	Actrt3	actin related protein T3 [Source:MGI Symbol;Acc:MGI:1923902]	protein_coding
ENSMUSG00000037730	Mynn	myoneurin [Source:MGI Symbol;Acc:MGI:1931415]	protein_coding
ENSMUSG00000027702	Lrrc34	leucine rich repeat containing 34 [Source:MGI Symbol;Acc:MGI:1919077]	protein_coding
ENSMUSG00000027703	Lrriq4	leucine-rich repeats and IQ motif containing 4 [Source:MGI Symbol;Acc:MGI:1915557]	protein_coding
ENSMUSG00000074653	Lrrc31	leucine rich repeat containing 31 [Source:MGI Symbol;Acc:MGI:2443864]	protein_coding
ENSMUSG00000086189	Gm15462	predicted gene 15462 [Source:MGI Symbol;Acc:MGI:3705271]	lncRNA
ENSMUSG00000051860	Samd7	sterile alpha motif domain containing 7 [Source:MGI Symbol;Acc:MGI:1923203]	protein_coding
ENSMUSG00000097786	4933429H19Rik	RIKEN cDNA 4933429H19 gene [Source:MGI Symbol;Acc:MGI:1918530]	lncRNA
ENSMUSG00000027706	Sec62	SEC62 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1916526]	protein_coding
ENSMUSG00000037661	Gpr160	G protein-coupled receptor 160 [Source:MGI Symbol;Acc:MGI:1919112]	protein_coding
ENSMUSG00000037652	Phc3	polyhomeotic 3 [Source:MGI Symbol;Acc:MGI:2181434]	protein_coding
ENSMUSG00000037643	Prkci	protein kinase C, iota [Source:MGI Symbol;Acc:MGI:99260]	protein_coding
